ID (id),Order (order),Field Key (field_key),Label (label),Question (description),Help Text (help_text),Demo Autofill Answer (demo_autofill),Group (section),Field Type (field_type),Required (is_required),Answer Expectation,Validation Type,Phasing,SOC2 Overlap,validation_rules,created_at,updated_at,step_index
65,65,technicalResilience,Technical Resilience,"Provide details on technical mechanisms, such as fail-safe systems, load balancing, or hot swapping, used to support resilience during typical and adverse scenarios.",Detail how critical external dependencies are included in your resilience planning.,"Technical resilience mechanisms employed include load balancing, failover clustering, and hot-swappable hardware to ensure continuous operations under adverse conditions.",Development,TEXT,TRUE,Describe how the organization implements mechanisms to achieve resilience requirements in normal and adverse situations. Provide evidence showing the organization has implemented mechanisms to achieve resilience requirements in normal and adverse situations.,Validated Assessment by Person,Day 1,A1.2,NULL,,,4
66,66,externalDependencyResilience,External Dependency Resilience,"Describe how your organization's resilience planning incorporates critical external dependencies and business partners, including participation in resilience exercises.",Define your organization's recovery targets and how they were set.,"Critical external dependencies and business partners are integrated into our resilience strategy, participating in joint planning and periodic exercises.",Development,TEXT,TRUE,"Provide evidence showing how the organization incorporated its critical external dependencies and critical business partners into its resilience program strategy, plans, and exercises. Describe how the organization has incorporated its external dependencies and critical business partners into its cyber resilience strategy, plans, and exercises.",Validated Assessment by Person,Day 1,A1.2,NULL,,,4
67,67,backupProcessTesting,Backup Process Testing,"Explain your organization's procedures for regularly testing backup and replication processes, including full system recovery tests.",Outline your process for regularly testing backup and recovery operations.,"Backup and replication processes are thoroughly tested quarterly, including full-system recoveries, to validate their effectiveness and reliability.",Development,TEXT,TRUE,"Provide evidence showing the organization tests backup and the replication processes, including full system recovery, at all facility locations where client data is handled to ensure successful completion. Describe the types of backup and replication process testing performed by the organization. Describe the frequency of backup and replication process testing performed by the organization for all in-scope facility locations that collect, store, process, handle, or transfer client data.",Validated Assessment by Person,Day 1,CC9.2,NULL,,,4
68,68,penetrationTesting,Penetration Testing,"Describe your organization's penetration testing processes, including frequency and triggering events, for hosted internet-facing applications and APIs.",Briefly describe your process for reporting cyber incidents internally and externally.,"Application penetration tests are performed annually and after significant updates, utilizing independent third-party testing to validate application security.",Development,TEXT,TRUE,"Provide evidence of an application penetration test performed in the last 12 months that covers an in-scope hosted internet-facing application that stores, transfers, or processes client data. Describe the date of the application penetration test. Describe if the application test covers an in-scope internet-facing application that stores, transfers, or processes client data.",3rd-Party or Internal Document,Day 1,"CC7.4, CC7.5",NULL,,,4
69,69,endpointMalwareScanning,Endpoint Malware Scanning,"Describe the antivirus and antimalware measures your organization employs on servers, laptops, and workstations.",Detail the approach to scanning email attachments and links for malware.,"Endpoint devices, including servers, laptops, and workstations, are protected by regularly updated antivirus and antimalware software with automated scanning enabled.",Vulnerabilities,TEXT,TRUE,"Provide evidence showing the organization performs anti-virus/anti-malware scanning on all servers, laptops, workstations. Describe the tools used to detect and block malware from infecting networks and systems. ",Validated Assessment by Person,Day 1,CC7.4,NULL,,,5
70,70,emailMalwareScanning,Email Malware Scanning,Explain your organization's methods for scanning email attachments and links to detect and mitigate malware or malicious content.,State the frequency and circumstances triggering vulnerability scans of applications.,Email attachments and embedded links are automatically scanned for malware and phishing threats using advanced email security solutions.,Vulnerabilities,TEXT,TRUE,"Provide evidence that email protection mechanisms have been implemented to automatically scan, detect, and protect from any attached malware or malicious links presented in email. Provide information on the tools utilized. Describe which email protection mechanisms have been implemented to automatically scan, detect, and protect from any attached malware or malicious links presented in email. Provide information on the tools utilized.",Self-Attestation & Self-Assertion,Day 1,"CC7.4, CC4.1",NULL,,,5
71,71,threatIntelligence,Threat Intelligence,Detail your organization's subscription to or partnerships with cyber threat intelligence providers and security information-sharing agencies.,List the external threat intelligence sources used.,We maintain active subscriptions and partnerships with leading cyber threat intelligence agencies to stay updated on emerging threats.,Vulnerabilities,TEXT,TRUE,Provide evidence related to the information sharing usage. Describe which cyber threat intelligence or security information sharing agencies are utilized.,Self-Attestation & Self-Assertion,Day 2,CC1.2,NULL,,,5
72,72,impactAnalysis,Impact Analysis,"Provide details on your organization's business impact analysis, highlighting how you define objectives for the resumption of critical operations.",Provide details of your business impact analysis and resumption priorities.,"A detailed Business Impact Analysis (BIA) is conducted annually, defining recovery priorities, resource requirements, and acceptable downtime for critical operations.",Vulnerabilities,TEXT,TRUE,"Provide evidence the organization conducted a Business Impact Analysis to define objectives for resumption of critical operations information on the organization's business impact analysis, the scope of critical business processes, and prioritization for recovery.",Validated Assessment by Person,Day 1,A1.2,NULL,,,5
73,73,realisticTesting,Realistic Testing,Describe the realistic exercise and test scenarios your organization deploys to simulate business disruptions and assess the capability to meet business and customer expectations.,Explain how realistic disruptions are simulated in your continuity exercises.,We use realistic business-disruption scenarios during our annual continuity exercises to verify our capability to meet defined recovery objectives.,Vulnerabilities,TEXT,TRUE,"Provide evidence showing the organization deploys realistic exercise and test scenarios, based on risks, which simulate disruptions in business functions and help management determine the ability to meet both business requirements and customer expectations. Describe how the organization's testing program validates the effectiveness of its cyber resilience framework on an annual or more frequent basis and according to the risk profile of the organization.Describe the types of scenario-based testing performed. Examples: Simultaneous attacks affecting both the entity and a third-party service provider, Cyber-related events (e.g., isolated malware attack, DDoS attack, data corruption, or a full-scale data center outage), Use of mirrored sites to demonstrate that alternate sites can effectively support customer-specific requirements, work volumes, and site-specific business processes, Processing a full day's work at peak volumes, Alternative locations, or other, including remote working.",Validated Assessment by Person,Day 1,A1.2,NULL,,,5
74,74,riskAssessment,Risk Assessment,Outline your organization's approach and frequency for conducting information security risk assessments.,Provide details on how frequently and thoroughly you conduct risk assessments.,"We conduct information security risk assessments bi-annually, identifying and mitigating emerging risks.",Vulnerabilities,TEXT,TRUE,Provide the last information security risk assessment.,Self-Attestation & Self-Assertion,Day 1,CC1.5,NULL,,,5
75,75,riskBasedControls,Risk-Based Controls,Provide details on how your cybersecurity team deploys or updates security controls based on periodic risk assessments to manage cyber risks within your risk tolerance.,Provide details on how frequently and thoroughly you conduct risk assessments.,Our cybersecurity team updates security controls quarterly based on outcomes of periodic risk assessments to stay within our risk tolerance.,Vulnerabilities,TEXT,TRUE,"Describe how the organization uses results from risk assessments, or other risk identification processes, to deploy security controls.",Self-Attestation & Self-Assertion,Day 1,"CC4.1, CC4.2",NULL,,,5
76,76,disruptionRisk,Disruption Risk,Outline your organization's approach to conducting risk assessments that evaluate the likelihood and impact of potential disruptions.,Provide details on how frequently and thoroughly you conduct risk assessments.,"Risk assessments are performed annually to evaluate potential disruptions, documenting risks and mitigation measures as part of our resiliency program.",Vulnerabilities,TEXT,TRUE,Provide evidence the organization has conducted a risk assessment to evaluate the likelihood and impact of potential disruptions and events as a part of the Business Resiliency Program.,3rd-Party or Internal Document,Day 1,A1.2,NULL,,,5
77,77,vulnerabilityRootCause,Vulnerability Root Cause,Explain how your organization conducts root cause analysis to identify and proactively address recurring software vulnerabilities.,Indicate the antivirus and antimalware protections deployed on endpoints.,"Root cause analysis of vulnerabilities is conducted systematically, with outcomes documented and used proactively to reduce future occurrences.",Vulnerabilities,TEXT,TRUE,Describe how code vulnerabilities' root causes are analyzed over time for thematic patterns to potentially identify secure coding practice not being followed consistently.,Validated Assessment by Person,Day 1,"CC1.2, CC5.2, CC7.3",NULL,,,5
78,78,incidentPlanTesting,Incident Plan Testing,"Describe how your organization tests its incident management plan, including the frequency and methodologies employed.",Explain triggers and frequency for updating incident response plans.,"We test our incident management plan annually through scenario-based simulations and tabletop exercises, documenting outcomes and improvements.",Incidents,TEXT,TRUE,Provide evidence the incident management plan occurred in the last 12 months. Describe the frequency of testing. Describe the scope of the testing.,3rd-Party or Internal Document,Day 1,"CC7.5, CC1.2",NULL,,,6
79,79,incidentManagementPlan,Incident Management Plan,"Provide details on your organization's documented incident management plan, including key components and scope.",Summarize the scope and key elements of your incident management plan.,"Our incident management plan is comprehensively documented, covering detection, response, communication, and recovery procedures, and reviewed annually.",Incidents,TEXT,TRUE,Provide a written incident management plan.,Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
80,80,incidentCoordination,Incident Coordination,"Explain how your organization coordinates incident responses with internal teams, external stakeholders, and law enforcement when necessary.",Summarize methods of internal and external stakeholder coordination during incidents.,"Incident response involves coordinated efforts between internal teams, external stakeholders, and, if necessary, engagement with law enforcement authorities.",Incidents,TEXT,TRUE,"Specify how your organization coordinates incident response internally and externally, including criteria for involving external entities such as law enforcement.",Self-attestation/Self-assertion,Day 1,CC7.5,NULL,,,6
81,81,incidentPlanUpdates,Incident Plan Updates,"Explain your organization's process for updating incident response plans, including the incorporation of recent cyber threat intelligence, actual incidents, or insights from information sharing.",Describe how threat intelligence informs your incident response updates.,"Incident response plans are reviewed and updated quarterly, integrating insights from real incidents, threat intelligence, and best practices shared by industry partners.",Incidents,TEXT,TRUE,"Describe how frequently and on what basis your incident response plans are reviewed and updated, mentioning specific triggers such as incidents or threat intelligence.",Self-Attestation & Self-Assertion,Day 1,A1.2,NULL,,,6
82,82,incidentEscalation,Incident Escalation,Describe the escalation protocols and communication strategies included in your organization's incident response program.,Clarify escalation processes used during incident management.,"Incident escalation protocols are clearly documented, outlining specific thresholds, escalation paths, and communication responsibilities for various incident levels.",Incidents,TEXT,TRUE,Provide a written incident response governance document that includes escalation protocols linked to organizational decision levels and communication strategies.,Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
83,83,incidentRoles,Incident Roles,"Clarify how your incident response program defines roles, responsibilities, and decision-making authorities within your organization.",Explain your process for handling security incidents.,"Our incident response program clearly specifies team roles, decision-making authorities, and escalation paths, documented and reviewed bi-annually.",Incidents,TEXT,TRUE,"Provide evidence the organization's incident response plan contains clearly defined roles, responsibilities, and levels of decision-making authority. Describe how the organization's incident response plan contains clearly defined roles, responsibilities, and levels of decision-making authority.",Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
84,84,incidentResponse,Incident Response,Explain your organization's process for reviewing and formally approving its Incident Response Plan over the past 12 months.,Explain your process for handling security incidents.,Our incident response plan is reviewed quarterly by our security team and formally approved annually by senior management following a comprehensive audit.,Incidents,TEXT,TRUE,Provide evidence the organization periodically reviews and updates response strategies.,Validated Assessment by Person,Day 1,"A1.2, CC3.2",NULL,,,6
85,85,incidentContainmentSpeed,Incident Containment Speed,Describe your organization's process for timely containment and mitigation of cybersecurity incidents.,Outline your approach to rapid containment and mitigation of cybersecurity incidents.,"Cybersecurity incidents are contained and mitigated promptly through predefined procedures, with actions initiated within 1 hour of detection.",Incidents,TEXT,TRUE,Provide evidence the organization contains cybersecurity incidents in a timely manner. Describe required response times. Describe how the organization contains cybersecurity incidents in a timely manner.,Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
86,86,forensicSupport,Forensic Support,"Describe your organization's capabilities and tools to conduct or support forensic investigations of cybersecurity incidents, including related protective and detective measures.",Explain your process for handling security incidents.,Our cybersecurity team possesses dedicated forensic investigation tools and specialists to thoroughly examine and respond to incidents promptly.,Incidents,TEXT,TRUE,"Describe how the organization assists in or conducts forensic investigations of cybersecurity incidents, and engineers protective and detective controls to facilitate the investigative process. Provide evidence the organization has the capability to assist in or conduct forensic investigations of cybersecurity incidents and engineer protective and detective controls to facilitate the investigative process.",Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
87,87,clientIncidentNotification,Client Incident Notification,Detail your organization's incident notification process for informing clients about suspected or confirmed security incidents affecting data or services.,Explain how clients are notified about security incidents affecting their data.,"Clients are notified promptly about security incidents affecting their data through secure communication channels, including incident details and mitigation steps.",Incidents,TEXT,TRUE,Provide evidence the organization has an incident notification process to notify your clients of suspected and confirmed incidents that affect data or services. Describe the communication methods used by the organization to notify clients of suspected and confirmed incidents that affect data or services. Describe the required timeframe for client notification of suspected and confirmed incidents that affect data or services. Describe the organization's plan to coordinate and communicate with internal and external stakeholders during or following a cyber-attack as appropriate. ,Self-Attestation & Self-Assertion,Day 1,CC7.5,NULL,,,6
88,88,logRetention,Log Retention,"Outline your organization's approach to maintaining immediate access to recent activity and security event logs, specifying the retention period.",Summarize your documented approach to managing system logs.,"We maintain immediate access to the most recent three months of activity and security event logs, stored securely and reviewed frequently.",Incidents,TEXT,TRUE,Provide evidence showing activity event logs and other security audit logs have been retained for at least three months. Describe the length of time activity event logs are retained.,Validated Assessment by Person,Day 1,CC7.2,NULL,,,6
89,89,cyberInvestigation,Cyber Investigation,"Detail your organization's approach to thoroughly investigating cyber events, including assessing the event's nature, scope, and impact.",Summarize your approach to analyzing cyber incidents comprehensively.,"Cyber events undergo thorough analysis within 24 hours to identify root cause, scope, damage assessment, and preventive recommendations.",Incidents,TEXT,TRUE,"Provide evidence the organization performs thorough investigations to determine the nature of a cyber event, its extent, and the damage inflicted. Describe how the organization performs thorough investigations to determine the nature of a cyber event, its extent, and the damage inflicted. ",Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
90,90,incidentDocumentation,Incident Documentation,Explain your organization's approach to appropriately documenting and reporting cybersecurity incidents and related response activities.,Briefly describe the documentation and reporting standards for incident response.,"Cybersecurity incidents are systematically documented and reported, including incident timelines, actions taken, and post-incident analysis.",Incidents,TEXT,TRUE,Provide an incident response plan that includes how to appropriately document and report cyber events and related incident response activities.,Validated Assessment by Person,Day 1,CC7.5,NULL,,,6
91,91,incidentReporting,Incident Reporting,"Summarize the procedures your organization follows to communicate, alert, and periodically report cyber threats and incidents to internal and external stakeholders.",Explain your process for handling security incidents.,"Cyber incidents and threats are reported promptly through structured channels, ensuring rapid communication internally and externally, supported by regular updates.",Incidents,TEXT,TRUE,"Describe the established processes and protocols to communicate, alert and periodically report detected potential cyber-attacks and incident information including its corresponding analysis and cyber threat intelligence to internal and external stakeholders.",Validated Assessment by Person,Day 1,"CC1.2, CC7.5",NULL,,,6
92,92,dataLossGovernance,Data Loss Governance,Summarize your organization's documented governance approach for information and data loss prevention programs.,Summarize your practices for preventing data leaks or losses.,"Information and data loss prevention governance is documented, with clear policies, detection mechanisms, and periodic training for employees.",Incidents,TEXT,TRUE,Provide a written governance document covering your information and data loss prevention program.,Validated Assessment by Person,Day 1,"CC5.3, CC7.3",NULL,,,6
93,93,dataLossPrevention,Data Loss Prevention,"Explain how your organization deploys Data Loss Prevention (DLP) measures to identify and mitigate unauthorized access, usage, or disclosure of client data.",Summarize your practices for preventing data leaks or losses.,"Our DLP measures include endpoint monitoring, real-time alerts, and automatic prevention to detect and prevent unauthorized access or data leakage.",Incidents,TEXT,TRUE,Provide evidence of the DLP tools in use. Describe the implementation of data loss identification and prevention tools used to monitor and protect against confidential data theft or destruction by an employee or an external actor.,Validated Assessment by Person,Day 1,"CC6.7, CC7.1",NULL,,,6
94,94,vendorBcmReview,Vendor BCM Review,Detail your organization's process for assessing and ensuring the alignment of your key subcontractors' Business Continuity Management (BCM) and operational resiliency programs with your standards.,Outline your processes for maintaining operations during disruptions.,Subcontractors' resilience programs are reviewed annually to verify alignment with our standards and recovery objectives through audits and contractual obligations.,Resilience,TEXT,TRUE,Provide evidence the organization assesses key subcontractors' Business Continuity Management (BCM) and Operational Resiliency programs to ensure alignment with recovery standards and resilience objectives,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
95,95,continuityTraining,Continuity Training,"Summarize the training provided to your employees regarding their business continuity responsibilities, including the frequency and scope.",Outline your processes for maintaining operations during disruptions.,"Employees undergo annual training covering their business continuity responsibilities, roles during disruptions, and familiarization with continuity plans.",Resilience,TEXT,TRUE,Provide evidence showing the organization trains employees on their business continuity responsibilities. Please describe the frequency of the training.,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
96,96,continuityTesting,Continuity Testing,"Explain how your organization conducts and documents business continuity tests for all facilities and services that handle client data, specifying the testing frequency.",Outline your processes for maintaining operations during disruptions.,"Comprehensive business continuity tests are documented annually for all facilities and services processing client data, ensuring consistent operational readiness.",Resilience,TEXT,TRUE,"Provide the latest business continuity test for one in-scope facility location that collects, stores, processes, handles, or transfers client data. Describe the scope of the business continuity test includes one in-scope facility location that collects, stores, processes, handles, or transfers client data.",Validated Assessment by Person,Day 1,A1.2,NULL,,,7
97,97,resiliencePolicy,Resilience Policy,Summarize your organization's written resilience policies covering business continuity and disaster recovery across relevant facilities handling client data.,Outline your processes for maintaining operations during disruptions.,"Our resilience policies cover comprehensive business continuity and disaster recovery measures, documented and enforced across all critical operational sites.",Resilience,TEXT,TRUE,Provide a written business continuity policy.,3rd-Party or Internal Document,Day 1,A1.2,NULL,,,7
98,98,bcpRolesResponsibilities,BCP Roles Responsibilities,"Explain how your business continuity plan outlines roles, responsibilities, and required skills for personnel involved in continuity operations.",Outline your processes for maintaining operations during disruptions.,"Our business continuity plan explicitly defines personnel roles, responsibilities, and skills required for effective response and recovery during disruptions.",Resilience,TEXT,TRUE,"Provide a business continuity plan that include roles, responsibilities, and required skills for entity personnel.",3rd-Party or Internal Document,Day 1,A1.2,NULL,,,7
99,99,bcpCommunicationPlan,BCP Communication Plan,Provide details about your organization's communication plan for notifying internal and external stakeholders during business continuity events.,Provide details of disaster recovery testing for critical technologies.,"The business continuity communication plan clearly specifies methods, channels, and responsibilities for communicating with internal and external stakeholders during events.",Resilience,TEXT,TRUE,Provide a written communication plan to notify internal and external stakeholders about an event.,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
100,100,bcpPolicyReview,BCP Policy Review,Detail your organization's process for annually reviewing and approving the business continuity and recovery policy to ensure alignment with the current environment.,Outline your processes for maintaining operations during disruptions.,The business continuity and recovery policy undergoes a comprehensive review and formal approval annually to ensure it reflects our current operational environment.,Resilience,TEXT,TRUE,Provide evidence the organization has reviewed and approved the business continuity and recovery policy to ensure it aligns with the current environment.,Validated Assessment by Person,Day 1,"CC9.1, CC9.2",NULL,,,7
101,101,pandemicResponse,Pandemic Response,"Outline how your organization's resilience program incorporates measures to manage pandemics, infectious disease impacts, natural events, and absenteeism.",Define your organization's recovery targets and how they were set.,"Our resilience measures explicitly include pandemic management plans, protocols for infectious disease outbreaks, natural event responses, and workforce absenteeism contingencies.",Resilience,TEXT,TRUE,Describe the enterprise-wide cyber resilience (including business continuity and incident response) strategy and program.,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
102,102,staffResilience,Staff Resilience,Detail the measures your operational resilience program includes to support staff during disruptive events.,Provide additional context or clarifications relevant to this question.,"Our resilience program includes remote work options, employee assistance services, and clear communication channels to support staff during disruptions.",Resilience,TEXT,TRUE,"Outline specific measures or programs designed to support employees' operational effectiveness during disruptions, such as remote work policies or employee assistance programs.",Validated Assessment by Person,Day 1,A1.2,NULL,,,7
103,103,vendorContracts,Vendor Contracts,Explain how your organization ensures that contractual terms with critical subcontractors support and enforce effective business resilience.,Summarize contractual clauses ensuring subcontractors' resilience standards.,Contractual agreements with critical subcontractors explicitly define and enforce compliance with our established resilience standards and expectations.,Resilience,TEXT,TRUE,Describe the contractual obligations or clauses included in agreements with critical subcontractors that ensure their compliance with resilience standards and expectations.,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
104,104,crisisTeamAvailability,Crisis Team Availability,Detail the measures your organization implements to ensure that the crisis response team remains continuously available (24/7/365).,Specify your crisis team's availability and how 24/7 coverage is ensured.,"The crisis response team is staffed on a 24/7/365 basis, supported by trained alternates and robust escalation protocols.",Resilience,TEXT,TRUE,Clearly state the availability schedule of your crisis response team and detail how continuous coverage is ensured throughout the year.,3rd-Party or Internal Document,Day 1,A1.2,NULL,,,7
105,105,crisisManagementPlan,Crisis Management Plan,"Explain the scope and content of your organization's crisis management plan, covering all facilities and services handling client data.",Briefly describe the scope and coverage of your crisis management plan.,"Our crisis management plan clearly outlines response actions, communication protocols, and coordination strategies across all client data-handling locations.",Resilience,TEXT,TRUE,Provide a written crisis management plan.,Validated Assessment by Person,Day 1,A1.2,NULL,,,7
106,106,crisisTeamRoles,Crisis Team Roles,"Describe how your organization defines roles and responsibilities for its crisis response team, including involvement from employees at the business process level.",Summarize roles related to cybersecurity governance in your organization.,"Crisis response team roles and responsibilities are clearly documented and reviewed semi-annually, ensuring clarity at all business process levels.",Resilience,TEXT,TRUE,"Provide a written crisis management plan that includes roles, responsibilities for the crisis response team including business process-level employees.",Validated Assessment by Person,Day 1,A1.2,NULL,,,7
107,107,networkRedundancy,Network Redundancy,"Explain how your organization diversifies telecommunication carriers and configures network redundancy, including the criteria for circuit sizing based on complexity and risk.",List the security controls implemented on your network.,"We employ diverse telecommunication carriers, redundant network pathways, and scalable circuits designed around risk assessments and operational requirements.",Resilience,TEXT,TRUE,Please list your telecommunication provider(s),Validated Assessment by Person,Day 1,"A1.2, CC9",NULL,,,7
108,108,cloudInteroperability,Cloud Interoperability,"Describe your organization's approach to addressing cloud service portability, interoperability, and vendor lock-in risks within your resiliency program.",Explain security measures protecting your cloud resources.,"Our resiliency approach specifically addresses cloud service portability, interoperability, and exit strategies to mitigate vendor lock-in risks.",Resilience,TEXT,TRUE,Provide written business continuity and disaster recovery (BCP/DR) governance document.,Validated Assessment by Person,Day 1,"CC1.2, CC9.2",NULL,,,7
109,109,immutableRecoveryData,Immutable Recovery Data,Describe your organization's approach to maintaining isolated or immutable instances of recovery data.,Explain your practices for maintaining isolated or immutable backup data.,"Immutable instances of recovery data are maintained using secure, air-gapped storage solutions, protected from modification or unauthorized access.",Resilience,TEXT,TRUE,"Provide evidence showing the organization does establish and maintain an isolated or immutable instance of recovery data. An immutable backup refers to a backup or data copy that cannot be altered, modified, or deleted once it is created or stored. ",Validated Assessment by Person,Day 1,A1.2,NULL,,,7
110,110,powerBackup,Power Backup,"Describe your organization's approach to utilizing multiple power sources, such as generators and grid connections, considering load capacity and ongoing maintenance.",Describe the power redundancy measures for critical equipment.,"Business-critical equipment is supported by multiple power sources, including backup generators and redundant power grids, routinely maintained and tested quarterly.",Resilience,TEXT,TRUE,"Provide details on the types of redundant power sources used, their maintenance protocols, and how load capacity is factored into resilience planning.",Validated Assessment by Person,Day 1,"CC9, A1.2",NULL,,,7
111,111,securityExceptions,Security Exceptions,"Describe your organization's method for registering, managing, and documenting exceptions related to information security policies.",Explain your system for managing security policy exceptions.,"We manage exceptions through a centralized registry, reviewed monthly to ensure timely mitigation.",Resilience,TEXT,TRUE,Provide evidence showing the organization has a register for managing information security exceptions.,Validated Assessment by Person,Day 1,No Direct SOC 2,NULL,,,7
112,112,wirelessSegmentation,Wireless Segmentation,Describe your organization's approach to logically segregating non-production or guest wireless network segments from production networks.,Briefly describe your monitoring processes for device access and data transfers.,Non-production and guest wireless networks are segregated from production systems through logical network isolation and firewall rules.,Resilience,TEXT,TRUE,"Provide evidence showing how the organization logically segregates non-production, or guest, wireless network segments from the production network.",Validated Assessment by Person,Day 1,CC7.1,NULL,,,7
113,113,standardChangeControl,Standard Change Control,Explain the process your organization uses to ensure all changes pass through a standardized change control review.,Explain the mechanism used to document all system and process changes.,"All system and operational changes undergo a standardized change control review process, documented and approved through our automated tracking system.",Resilience,TEXT,TRUE,Describe any changes that go through alternative processes. Describe the alternative process(es).,Validated Assessment by Person,Day 1,"CC1.2, CC5.3",NULL,,,7
114,114,recoveryObjectives,Recovery Objectives,Detail how your organization's recovery point objectives support data integrity and align with the recovery time objectives established for critical operations.,Confirm alignment of RPO with your RTO to protect data integrity.,"Our RPO ensures data integrity by limiting potential data loss to less than one hour, fully aligning with our defined 4-hour RTO.",Resilience,TEXT,TRUE,Describe how the organization's recovery point objectives support data integrity efforts are consistent with the organization's requirements for recovery of critical operations.,3rd-Party or Internal Document,Day 1,A1.2,NULL,,,7
115,115,criticalOperations,Critical Operations,"Describe your organization's defined objectives for resuming critical operations, including specific objectives for each critical service.",Specify critical services and related recovery objectives after disruptions.,Our critical operational objectives include restoring service functionality within 4 hours and maintaining data integrity with minimal data loss.,Resilience,TEXT,TRUE,Describe how the organization defines objectives for resumption of critical operations. Describe objectives for all critical services. Describe tools utilized to define objectives.,3rd-Party or Internal Document,Day 1,No Direct SOC 2,NULL,,,7
116,116,fraudActivityReporting,Fraud Activity Reporting,"Describe your organization's process for tracking, reporting, and communicating suspected or confirmed fraud incidents to affected clients.",Explain how suspected fraud incidents are reported to clients.,Suspected and confirmed fraud activities are promptly reported and communicated to affected clients using structured reporting processes and secure channels.,Resilience,TEXT,TRUE,"Describe how the organization tracks, reports, and communicates suspected or actual fraud activity to impacted clients.",Validated Assessment by Person,Day 1,"CC7.3, CC7.4",NULL,,,7
117,117,cybersecurityRoles,Cybersecurity Roles,"Clarify how your organization defines and communicates roles and responsibilities within the cybersecurity workforce, including management of subcontractor personnel.",Summarize roles related to cybersecurity governance in your organization.,"Roles and responsibilities within our cybersecurity team are clearly documented, updated annually, and communicated during onboarding and ongoing training.",Resilience,TEXT,TRUE,"Provide evidence showing clearly defined and communicated roles and responsibilities for the cybersecurity workforce, including those who directly manage subcontractor personnel.",Validated Assessment by Person,Day 2,"CC3.2, CC7.3",NULL,,,7
118,118,insuranceCoverage,Insurance Coverage,Provide details regarding the types and scope of insurance coverage maintained by your organization.,Briefly outline the types of insurance coverage your organization maintains.,"Our organization maintains comprehensive insurance coverage, including liability, property damage, cybersecurity, and operational risk insurance.",Resilience,TEXT,TRUE,Provide evidence the organization maintains insurance coverage certifications. The description should include if you are covered by the following insurance policy types: 1. Workers Compensation Insurance. 2. Employer's Liability Insurance. 3. Commercial General Liability Insurance. 4. Excess/Umbrella coverage. 5. Errors and Omissions coverage. 6. Fidelity Bond or Crime Coverage.,Validated Assessment by Person,Day 1,CC2.1,NULL,,,7
119,119,emergingTechnologies,Emerging Technologies,Explain how your organization integrates cybersecurity considerations into the lifecycle of adopting emerging technologies from their inception.,Clarify how cybersecurity impacts business decisions.,"We integrate cybersecurity considerations at the beginning of the evaluation phase for emerging technologies, following our defined security framework.",Resilience,TEXT,TRUE,Describe how the organization identifies how cybersecurity will support the use of emerging technologies by integrating cybersecurity considerations into the lifecycle from their inception.,Self-Attestation & Self-Assertion,Day 1,"CC3.3, CC5.2",NULL,,,7
120,120,assetRetrieval,Asset Retrieval,Describe the process your organization follows to retrieve corporate assets from employees and subcontractors upon termination to support inventory reconciliation.,Define your organization's recovery targets and how they were set.,"Assets from terminated employees and subcontractors are collected and inventoried on or before their last day, ensuring accurate reconciliation.",Resilience,TEXT,TRUE,Describe the practice in the organization to request the return of all corporate assets from terminated employees and subcontractors by their last day of work as part of the technology asset inventory reconciliation process.,Self-Attestation & Self-Assertion,Day 1,CC5.2,NULL,,,7
