id,order,field_key,display_name,question,new_demo_autofill
52,52,privilegedUserLogs,Privileged User Logs,Explain your organization's procedures for logging and reviewing privileged user activities.,"All privileged user actions are logged in real-time through our Privileged Access Management PAM system and forwarded to the SIEM for retention and analysis. Logs include session start and end times, executed commands, accessed systems, and contextual metadata such as originating IP address.

Reviews are conducted weekly by the Security Operations team, with anomalies or policy violations escalated to the Risk Committee. The privileged activity review process is documented in the Access Oversight Policy AOP v3.1 and aligns with NIST 800-53 and ISO 27001 access control requirements."
53,53,physicalMfa,Physical MFA,"Describe your organization's use of multi-factor authentication (MFA) to restrict physical access to locations handling client data, ensuring unique identification of authorized personnel.","Physical access to data-handling environments is restricted through multi-factor authentication systems that include RFID access badges and biometric verification such as fingerprint or facial recognition. All entry points are equipped with access control panels integrated with our central physical security management system.

Access logs are retained for 12 months and reviewed monthly by the Facilities Security team. Any failed authentication attempts trigger real-time alerts to onsite security. The physical MFA program is defined in the Physical Security and Access Control Policy PSACP v2.4 and is tested during annual site access drills."
54,54,executiveCyberTraining,Executive Cyber Training,Explain the type and frequency of information security or cybersecurity situational awareness training provided specifically to your organization's senior management and governing body.,"Senior leadership receives cybersecurity situational awareness training twice annually, covering current threat landscapes, regulatory updates, incident trends, and board-level responsibilities in security governance. Training sessions are delivered live by the CISO and include tabletop simulations and executive-level threat briefings.

Participation is mandatory for all executive team members and board advisors and tracked through our Learning Management System LMS. The content is aligned with NIST CSF and was most recently refreshed in Q1 2025 following updated guidance on AI-related risks and supply chain threats."
55,55,complianceTraining,Compliance Training,"Describe the compliance-related training your organization provides, including its scope, frequency, and targeted audience.","Compliance training is required for all employees on an annual basis and includes modules on data privacy, anti-money laundering, acceptable use, and insider threat awareness. Specialized tracks are provided for high-risk roles in finance, legal, and engineering, with content tailored to regulatory exposure.

Training completion is tracked in our Learning Management System LMS, and results are reviewed quarterly by the Compliance and HR teams. Completion rates have exceeded 98 percent for the past three years and are included in our annual compliance report to executive leadership."
56,56,annualSecurityTraining,Annual Security Training,"Provide details on the cybersecurity awareness training curriculum, including frequency and completion requirements for employees.","All employees complete cybersecurity awareness training annually, with refresher modules triggered by role changes, policy updates, or major incidents. The curriculum includes phishing awareness, password hygiene, social engineering, secure data handling, and reporting suspicious activity.

Training is delivered via our LMS and reinforced through monthly phishing simulations and quarterly knowledge checks. Completion rates and simulation results are reviewed by the Security Awareness Program Manager and shared with department heads during quarterly risk meetings."
57,57,developerTraining,Developer Training,Provide details about your organization's training requirements for developers (including subcontractors) regarding secure system development practices.,"All internal and subcontracted developers must complete annual secure development training aligned with OWASP Top 10, secure API practices, and our internal Secure Coding Standard SCS v3.1. The training includes modules on input validation, authentication security, encryption use, and secure CI/CD workflows.

Completion is mandatory before production access is granted and is tracked via our Learning Management System LMS. Developers who regularly commit to protected branches must also complete quarterly secure coding refreshers, and training metrics are reviewed as part of our AppSec maturity scorecard."
58,58,accountCompromise,Account Compromise,Provide details about your organization's response and required actions when an account compromise is suspected.,"When an account compromise is suspected, the identity is immediately suspended via automated triggers in our IAM platform, and the user is prompted to reset credentials through a secure channel. Simultaneously, a case is opened in the Incident Response Tracker, and session logs are flagged for investigation.

Password reset policies are enforced through the Account Recovery Protocol ARP v2.3, and all credential resets require multi-factor re-verification. Confirmed incidents are escalated to the Incident Response Team and resolved in accordance with the Cybersecurity Incident Response Plan CIRP."
59,59,passwordPolicies,Password Policies,Describe your organization's standards and criteria for password policies applied to all systems managing client data.,"Password policies are defined in the Authentication Security Standard ASS v4.0 and apply to all internal, third-party, and client-facing systems. Passwords must be a minimum of 14 characters, include at least one uppercase letter, lowercase letter, number, and special character, and are checked against a database of known compromised credentials.

Password reuse is prohibited across internal systems, and forced rotation occurs every 180 days for administrative accounts. Policy enforcement is audited quarterly, and non-compliant systems are logged in the Identity Governance Exception Report."
60,60,defaultPasswords,Default Passwords,Detail the process your organization follows to verify modifications of default passwords and disable unnecessary default accounts prior to system deployment.,"Default accounts and passwords are automatically identified and removed during infrastructure provisioning using security configuration baselines and automated hardening scripts. Systems are scanned with CIS Benchmark profiles prior to deployment, and any remaining default credentials trigger a deployment halt in the CI/CD pipeline.

Verification steps are documented in the Secure Deployment Checklist SDC v3.2 and must be signed off by the Security Engineering team before go-live. This process is included in our quarterly infrastructure compliance audits and was reviewed with no findings in our 2025 SOC 2 Type II assessment."
61,61,deviceAccessMonitoring,Device Access Monitoring,"Explain the procedures and tools your organization uses to monitor, detect, and control access to devices, network connections, and data transfers.","Device and network access is continuously monitored through endpoint detection and response EDR agents, network access control NAC systems, and data loss prevention DLP tools. All connections to corporate systems are evaluated in real time based on location, device posture, and user role using a zero trust access model.

Data transfers are scanned for sensitive content using content inspection policies, and unauthorized USB or external device usage is blocked at the OS level. All monitoring logs are forwarded to our SIEM and reviewed daily by the SOC. These controls are defined in the Device and Network Access Policy DNAP v2.4."
62,62,crisisTeamAvailability,Crisis Team Availability,Detail the measures your organization implements to ensure that the crisis response team remains continuously available (24/7/365).,"The crisis response team operates on a 24/7/365 schedule, supported by a rotating on-call roster maintained in our Incident Command Platform. Roles include representatives from Legal, Security, IT Operations, and Communications, each with defined escalation procedures and redundancy assignments.

Availability is tested quarterly through unannounced call drills, and the full schedule is reviewed monthly by the Incident Response Program Manager. Backup contacts are trained and certified under the Crisis Readiness Program CRP, and staffing levels are reviewed annually to ensure global time zone coverage."
63,63,vendorContracts,Vendor Contracts,Explain how your organization ensures that contractual terms with critical subcontractors support and enforce effective business resilience.,"All contracts with critical subcontractors include resilience clauses that mandate business continuity and disaster recovery capabilities aligned with our Third-Party Resilience Standards TPRS v2.0. These clauses require annual attestation of DR readiness, RTO/RPO commitments, and breach notification timelines.

Contractual resilience obligations are reviewed by Legal and Risk during onboarding and renewal cycles. Vendors must participate in periodic continuity exercises or provide evidence of their testing results, which are logged in the Third-Party Resilience Compliance Register."
64,64,staffResilience,Staff Resilience,Detail the measures your operational resilience program includes to support staff during disruptive events.,"The operational resilience program includes flexible remote work capabilities, redundant collaboration platforms, and emergency communication protocols managed through our Crisis Notification System CNS. Staff receive preparedness training annually, and response roles are documented in department-level continuity plans.

Employee Assistance Programs EAP, mental health support, and relocation assistance are also available during extended disruptions. Resilience measures were activated successfully during a regional infrastructure outage in 2024, with zero disruption to customer services."
65,65,pandemicResponse,Pandemic Response,"Outline how your organization's resilience program incorporates measures to manage pandemics, infectious disease impacts, natural events, and absenteeism.","Our enterprise resilience program includes a Health and Environmental Disruption Response Plan HDRP v3.0 that covers pandemic response, workforce absenteeism, and natural disaster protocols. The plan outlines remote work enablement, supply chain rerouting, and backup staffing procedures across critical functions.

Workforce availability and operational risk thresholds are monitored through our Resilience Dashboard, which integrates data from HR, IT, and service delivery platforms. The program was most recently activated during COVID-19 and refined following the 2024 wildfire season, resulting in enhanced readiness scores in our annual internal resilience audit."
66,66,vendorBcmReview,Vendor BCM Review,Detail your organization's process for assessing and ensuring the alignment of your key subcontractors' Business Continuity Management (BCM) and operational resiliency programs with your standards.,"Key subcontractors are assessed annually through our Third-Party Risk Management Program, which includes BCM-specific questionnaires, policy reviews, and evidence of recent recovery testing. High-risk vendors must submit their latest BCP and DR results and demonstrate alignment with our Resilience Control Framework RCF v2.1.

Assessment results are logged in the Vendor Resilience Assessment Tracker VRAT and scored using a standardized risk rubric. Gaps are addressed through remediation plans or contractual revisions, and findings are reviewed during quarterly business continuity governance meetings."
67,67,continuityTesting,Continuity Testing,"Explain how your organization conducts and documents business continuity tests for all facilities and services that handle client data, specifying the testing frequency.","Business continuity tests are conducted annually for all in-scope facilities and services that process or store client data. These tests include simulated disruptions such as facility loss, power failure, and application outages, and validate communication procedures, system recovery, and staff coordination.

Results are documented in the Business Continuity Test Report BCTR and include scope, participation, success criteria, and any corrective actions. Reports are reviewed by the Risk Committee and audited annually as part of our enterprise resilience compliance program."
68,68,resiliencePolicy,Resilience Policy,Summarize your organization's written resilience policies covering business continuity and disaster recovery across relevant facilities handling client data.,"Resilience policies are defined in the Business Continuity and Disaster Recovery Policy BCDRP v4.0, which applies to all business units and facilities handling client data. The policy outlines requirements for continuity planning, recovery time and point objectives RTO/RPO, alternate site readiness, and testing cadence.

The policy is reviewed annually by the Business Resilience and Risk teams and aligns with ISO 22301. Updates and test results are distributed to stakeholders through the Resilience Governance Dashboard and retained for audit purposes."
69,69,bcpRolesResponsibilities,BCP Roles Responsibilities,"Explain how your business continuity plan outlines roles, responsibilities, and required skills for personnel involved in continuity operations.","Our Business Continuity Plan BCP outlines personnel roles, required capabilities, and responsibility matrices for each phase of continuity operations—response, recovery, and restoration. Each department has an assigned Continuity Coordinator responsible for activating their local plan and managing team-specific response tasks.

Skills and role assignments are documented in the BCP Role Directory, updated biannually, and validated through tabletop exercises. Critical functions also have designated backups and cross-trained personnel to ensure uninterrupted operations in the event of unavailability."
70,70,crisisManagementPlan,Crisis Management Plan,"Explain the scope and content of your organization's crisis management plan, covering all facilities and services handling client data.","The Crisis Management Plan CMP v3.2 covers response procedures for all critical incidents affecting facilities and services handling client data, including natural disasters, cyber incidents, and third-party failures. The plan defines activation criteria, communication protocols, escalation chains, and executive decision-making structures.

Each site has a localized version of the plan with assigned crisis leads and alternates. Crisis scenarios are tested semi-annually, and lessons learned are fed into plan revisions reviewed by the Crisis Governance Committee."
71,71,bcpPolicyReview,BCP Policy Review,Detail your organization's process for annually reviewing and approving the business continuity and recovery policy to ensure alignment with the current environment.,"The Business Continuity and Recovery Policy BCRP is reviewed annually by the Risk and Business Resilience teams to ensure alignment with current organizational structure, technology stack, regulatory requirements, and client obligations. Updates are proposed based on testing outcomes, audit findings, and risk assessments.

The revised policy is approved by executive leadership and published through the internal policy portal with version tracking and attestation workflows. The most recent review was completed in Q1 2025 following the completion of a major infrastructure modernization project."
72,72,bcpCommunicationPlan,BCP Communication Plan,Provide details about your organization's communication plan for notifying internal and external stakeholders during business continuity events.,"The Business Continuity Communication Plan BCCP v2.6 outlines procedures for internal and external stakeholder notifications during disruptive events. Internal notifications are handled via our mass alerting system integrated with HR and email directories, while external communications are managed by the Communications and Legal teams in coordination with executive leadership.

Communication templates, stakeholder contact lists, and messaging protocols are maintained in the Crisis Communication Toolkit and reviewed quarterly. The plan was last tested during a simulated regional outage drill in 2024 with full stakeholder acknowledgment within SLA windows."
73,73,continuityTraining,Continuity Training,"Summarize the training provided to your employees regarding their business continuity responsibilities, including the frequency and scope.","All employees complete annual business continuity training, which covers their departmental roles, response expectations, communication protocols, and escalation procedures. Staff in critical business functions receive additional role-specific training and participate in semi-annual tabletop exercises.

Training completion is tracked in the Learning Management System LMS, and results are reviewed by the Resilience Program Manager. Updates to training content are made following each test cycle and incorporated into the next scheduled session."
74,74,crisisTeamRoles,Crisis Team Roles,"Describe how your organization defines roles and responsibilities for its crisis response team, including involvement from employees at the business process level.","Crisis response team roles are defined in the Crisis Response Role Matrix CRRM and include executive command leads, operational coordinators, and department-level crisis liaisons. Each role includes required skills, communication responsibilities, and decision-making authority aligned with crisis severity levels.

Process-level employees are designated as functional responders for their business units and receive scenario-based training annually. Role assignments and responsibilities are reviewed during each quarterly crisis simulation and updated in the Crisis Response Plan CRM v3.4."
75,75,assetRetrieval,Asset Retrieval,Describe the process your organization follows to retrieve corporate assets from employees and subcontractors upon termination to support inventory reconciliation.,"Asset retrieval is initiated automatically through our offboarding workflow integrated with HRIS and IT asset management systems. Employees and subcontractors are required to return all issued devices and access cards by their final working day, and returns are tracked in the Asset Recovery Tracker ART.

If assets are not returned on time, the workflow escalates to the asset owner and Security team for follow-up. Inventory reconciliation is performed monthly and reviewed by Facilities and IT Asset Governance for completeness and accuracy."
76,76,cloudInteroperability,Cloud Interoperability,"Describe your organization's approach to addressing cloud service portability, interoperability, and vendor lock-in risks within your resiliency program.","Cloud service portability and vendor lock-in are mitigated through the use of open standards, containerized workloads, and infrastructure-as-code templates. All services are designed to be deployable across multiple cloud providers, and data exports are supported via standardized APIs and machine-readable formats.

Vendor exit strategies are documented in the Cloud Portability and Exit Playbook CPEP v2.1, which is reviewed annually during our resilience risk assessment. Recent provider portability was tested during a 2024 simulation involving cloud region migration with no data loss or downtime."
77,77,immutableRecoveryData,Immutable Recovery Data,Describe your organization's approach to maintaining isolated or immutable instances of recovery data.,"Immutable recovery data is maintained through write-once-read-many WORM storage configurations and air-gapped snapshots for all Tier 1 systems. Backups are encrypted, replicated to offsite storage, and subject to tamper-evidence checks using cryptographic hash validation.

The Immutable Backup Standard IBS v1.9 defines retention, access controls, and periodic recovery testing procedures. This approach was validated during a ransomware containment exercise in 2024, which demonstrated full recovery without data compromise."
78,78,powerBackup,Power Backup,"Describe your organization's approach to utilizing multiple power sources, such as generators and grid connections, considering load capacity and ongoing maintenance.","All critical facilities are supported by dual power grids and on-site backup generators with uninterruptible power supply UPS systems providing failover during transfer. Load capacity is calculated quarterly based on peak usage data and future demand forecasts.

Preventive maintenance for all power systems is performed monthly, and failover is tested under load conditions at least twice per year. Results are documented in the Power Resilience Maintenance Log PRML and reviewed by Facilities Engineering leadership."
79,79,securityExceptions,Security Exceptions,"Describe your organization's method for registering, managing, and documenting exceptions related to information security policies.","Information security policy exceptions are managed through the Security Exception Management Workflow SEMW, where requests are submitted, risk-scored, and routed to the appropriate approvers based on impact level. Approved exceptions are logged in the Information Security Exception Register ISER along with expiration dates and required compensating controls.

All active exceptions are reviewed quarterly by the GRC team, and expired entries trigger automated reminders for renewal or closure. Metrics are reported to the Risk Steering Committee as part of the monthly security governance review."
80,80,wirelessSegmentation,Wireless Segmentation,Describe your organization's approach to logically segregating non-production or guest wireless network segments from production networks.,"Non-production and guest wireless networks are segmented from production environments using VLANs, access control lists ACLs, and firewall rules enforced by our network security appliances. Guest traffic is restricted to internet-only access and cannot route to any corporate subnets.

Network segmentation policies are defined in the Wireless Network Security Standard WNSS v2.0 and validated through quarterly internal vulnerability scans. Any misconfigurations or policy violations are logged in the Network Isolation Exception Tracker for remediation and review."
81,81,standardChangeControl,Standard Change Control,Explain the process your organization uses to ensure all changes pass through a standardized change control review.,"All system and infrastructure changes follow a standardized process defined in the Change Management Policy CMP v4.3. Change requests must be submitted through our ITSM platform, undergo risk assessment, and receive multi-level approvals before execution. Automated CI/CD changes are also subject to review checkpoints based on change category.

Standard changes use predefined workflows but still require audit trail logging and periodic post-implementation review. Change control compliance is monitored weekly by the Change Advisory Board CAB and included in quarterly audit summaries."
82,82,emergingTechnologies,Emerging Technologies,Explain how your organization integrates cybersecurity considerations into the lifecycle of adopting emerging technologies from their inception.,"Cybersecurity is integrated into emerging technology adoption through our Secure Innovation Intake Process SIIP, which mandates security review at the concept and feasibility stages. Security Architects participate in technical assessments, risk modeling, and vendor evaluations before any deployment planning begins.

Pilot environments are isolated and undergo security testing and monitoring, with findings documented in the Emerging Tech Risk Register. Adoption decisions require sign-off from the Security and Innovation Councils to ensure alignment with our Risk Appetite Statement and existing control frameworks."
83,83,recoveryObjectives,Recovery Objectives,Detail how your organization's recovery point objectives support data integrity and align with the recovery time objectives established for critical operations.,"Recovery Point Objectives RPOs are defined for each system tier in the Business Impact Analysis BIA and aligned with associated Recovery Time Objectives RTOs to ensure continuity of operations without compromising data integrity. Tier 1 systems maintain an RPO of less than 1 hour through continuous replication, while Tier 2 and 3 systems follow scheduled backup intervals.

These objectives are tested quarterly during recovery simulations and validated through automated data integrity checks on restored environments. Metrics and any gaps are reviewed with executive stakeholders during the semi-annual resilience performance review."
84,84,criticalOperations,Critical Operations,"Describe your organization's defined objectives for resuming critical operations, including specific objectives for each critical service.","Resumption objectives for critical operations are defined in the Business Continuity Plan BCP and mapped to system tiers within the Business Impact Analysis BIA. Tier 1 services—including payment processing, customer support systems, and compliance reporting—have an RTO of 4 hours and an RPO of 1 hour. Tier 2 services are targeted for restoration within 24 hours.

These objectives are validated through annual continuity testing, and test results are tracked in the Continuity Metrics Dashboard CMD. Results are reviewed by the Business Resilience Steering Committee to ensure response alignment and improve operational readiness."
85,85,fraudActivityReporting,Fraud Activity Reporting,"Describe your organization's process for tracking, reporting, and communicating suspected or confirmed fraud incidents to affected clients.","Suspected and confirmed fraud incidents are logged in the Fraud Incident Tracker and reviewed by the Fraud Response Team within 24 hours. Communication with affected clients is initiated based on predefined thresholds and follows the Client Fraud Notification Protocol CFNP v2.1, which includes secure messaging templates and escalation paths.

All client communications are coordinated with Legal and Customer Success to ensure accuracy, regulatory alignment, and sensitivity. Notification timelines and follow-ups are tracked in the CRM platform, and quarterly metrics are reported to the Risk and Compliance Committee."
86,86,cybersecurityRoles,Cybersecurity Roles,"Clarify how your organization defines and communicates roles and responsibilities within the cybersecurity workforce, including management of subcontractor personnel.","Cybersecurity roles and responsibilities are defined in the Cybersecurity Responsibility Matrix CRM and maintained by the GRC and HR teams. Each role includes skill requirements, escalation authority, and required certifications where applicable. Responsibilities are aligned to the NIST NICE Framework and reviewed annually.

Subcontractor personnel are onboarded through the same security awareness and access control programs as internal staff. Role-based expectations and security duties are outlined in contract language and communicated during onboarding by a designated Security Liaison."
87,87,insuranceCoverage,Insurance Coverage,Provide details regarding the types and scope of insurance coverage maintained by your organization.,"Our organization maintains a comprehensive insurance portfolio including Workers’ Compensation, Commercial General Liability, Cyber Liability, Errors and Omissions E&O, and Excess/Umbrella coverage. Policy limits and scope are based on an annual risk exposure assessment conducted with input from Legal and Finance.

Certificates of insurance COIs are stored in the Compliance Repository and are reviewed annually during vendor and client contract renewal cycles. The policy suite was last updated in January 2025 to account for expanded global operations and increased regulatory requirements."
88,88,networkRedundancy,Network Redundancy,"Explain how your organization diversifies telecommunication carriers and configures network redundancy, including the criteria for circuit sizing based on complexity and risk.","Our network architecture includes redundant telecommunication carriers for each primary facility, selected based on geographic diversity, failover reliability, and bandwidth scaling capabilities. Carrier selection and circuit sizing are defined by criticality tier, expected peak load, and acceptable downtime thresholds documented in the Network Resilience Plan NRP v2.3.

Failover testing is conducted semi-annually to validate seamless transition between carriers, and monitoring systems alert on degradation events in real-time. The redundancy configuration was validated during the 2024 enterprise continuity simulation with full restoration to backup connectivity within SLA."
89,89,dataLossPrevention,Data Loss Prevention,"Explain how your organization deploys Data Loss Prevention (DLP) measures to identify and mitigate unauthorized access, usage, or disclosure of client data.","Data Loss Prevention controls are enforced across email, endpoint, and cloud collaboration platforms using our integrated DLP suite. Policies include detection for sensitive data types such as PII, financial records, and access credentials, with real-time blocking and alerting on unauthorized transfer attempts.

Incidents are logged in the DLP Incident Tracker and reviewed daily by the Information Security team. DLP policies are updated quarterly based on emerging risk patterns and regulatory changes and are tested during annual tabletop exercises simulating insider threat scenarios."
90,90,dataLossGovernance,Data Loss Governance,Summarize your organization's documented governance approach for information and data loss prevention programs.,"Data Loss Prevention governance is defined under the Information Protection and DLP Policy IPDLP v3.1. The policy outlines ownership of DLP strategy, escalation workflows, detection rule requirements, and reporting thresholds. It applies across endpoints, email, and cloud services, and includes both preventative and detective control layers.

The policy is reviewed semi-annually by the GRC and Security Engineering teams. DLP program effectiveness is measured through blocked incident trends, rule false positive rates, and response time metrics, all of which are included in quarterly board-level security updates."
91,91,activityLogging,Activity Logging,"Describe how your organization logs and monitors user activity across applications, platforms, network devices, databases, and servers.","User activity across all core systems is logged using a centralized SIEM that aggregates data from application servers, databases, endpoint agents, and cloud platforms. Logs include login attempts, permission changes, system access, and data queries, all tagged with user identity and timestamp metadata.

Audit trails are retained for a minimum of 12 months and are reviewed weekly for anomalies by the Security Operations Center SOC. High-risk user behaviors are flagged for investigation, and quarterly access activity summaries are reviewed by GRC to validate oversight and adherence to monitoring policies."
92,92,incidentDocumentation,Incident Documentation,Explain your organization's approach to appropriately documenting and reporting cybersecurity incidents and related response activities.,"All cybersecurity incidents are documented in the Incident Management System IMS with details including event timeline, impacted assets, containment steps, root cause, and regulatory implications. Incident handlers complete a post-incident report using the standardized Cyber Incident Review Template CIRT v2.0.

High-severity events are reported to executive leadership and included in quarterly cybersecurity briefings. For regulated breaches, Legal and Compliance coordinate notifications within mandated timeframes and maintain evidence of notification in the Incident Disclosure Archive."
93,93,databaseSynchronization,Database Synchronization,"Detail your organization's technology solutions and processes for mirroring, replicating, or synchronizing production databases with backup databases.","Production databases are mirrored and replicated using real-time data synchronization tools, including native cloud provider replication services and third-party solutions such as Veeam and AWS Database Migration Service. Replication configurations are tiered based on system criticality, with Tier 1 systems using active-active configurations across regions.

Synchronization status is monitored 24x7, and failures trigger alerts to the Database Reliability Team. Replication logs are retained for 90 days and reviewed weekly to ensure RPOs are met. The replication process is governed by the Database Resilience Policy DRP v2.6."
94,94,webFiltering,Web Filtering,Describe the tools and technologies your organization employs to filter and block access to websites identified as high-risk or containing malicious content.,"Web filtering is enforced using a layered approach with DNS filtering and secure web gateways SWGs. Solutions such as Cisco Umbrella and Zscaler block access to domains flagged for malware, phishing, or inappropriate content, with real-time threat intelligence feeds integrated for dynamic updates.

Policy enforcement is user-role aware and applies across corporate devices regardless of location. Web access logs are analyzed in our SIEM, and blocked access attempts are reviewed weekly for false positives or policy tuning. Web filtering effectiveness is tested during quarterly threat surface reviews."
95,95,encryptionVerification,Encryption Verification,"Detail the process your organization uses to ensure no client data remains unencrypted, whether at rest or in transit.","Client data is encrypted at rest using AES-256 and in transit using TLS 1.3 or higher, as enforced by our Data Encryption Control Framework DECF v3.3. Encryption is applied across databases, file systems, backups, and internal APIs, with key management handled by a centralized KMS with access controls and audit logging.

Quarterly encryption compliance scans are performed using automated tools, and results are reviewed by Security Engineering. Any exceptions must be documented and approved by the CISO, with compensating controls tracked in the Encryption Exception Register."
96,96,clientDataSegregation,Client Data Segregation,Describe how your organization logically or physically segregates client data from other client data.,"Client data is logically segregated using tenant-specific access controls, database schemas, and encryption keys. Multi-tenant applications enforce row-level security and scoped access through identity and access management IAM policies. Data access is limited based on client-specific role mappings enforced at the API and service layer.

In high-sensitivity environments, physical segregation is applied using dedicated infrastructure or VPC isolation. Segregation controls are validated during quarterly architecture reviews and tested as part of our annual external penetration test."
97,97,tlsEncryptionStandards,TLS Encryption Standards,"Clarify the non-deprecated encryption methods your organization employs (e.g., TLS 1.2 or greater) for encrypting client data during external network transmission.","Client data in transit is encrypted using TLS 1.3 as the default protocol, with fallback to TLS 1.2 where required for legacy compatibility. Deprecated protocols and cipher suites such as SSL, RC4, and 3DES are explicitly disabled through baseline security configurations managed via our Infrastructure-as-Code framework.

Encryption compliance is validated through regular vulnerability scans and TLS configuration audits. Results are reviewed quarterly by the Security Engineering team and documented in the Encryption Assurance Tracker."
98,98,endpointMalwareScanning,Endpoint Malware Scanning,"Describe the antivirus and antimalware measures your organization employs on servers, laptops, and workstations.","All endpoints and servers are protected using an Endpoint Detection and Response EDR platform with built-in antivirus and antimalware capabilities. The solution performs real-time scanning, behavioral analysis, and automated remediation across all supported operating systems.

Definitions are updated continuously through cloud-based threat intelligence, and alert telemetry is forwarded to our SIEM for correlation and investigation. The antivirus policy is documented in the Endpoint Protection Standard EPS v2.4 and validated through monthly SOC reviews."
99,99,emailMalwareScanning,Email Malware Scanning,Explain your organization's methods for scanning email attachments and links to detect and mitigate malware or malicious content.,"All inbound and outbound emails are scanned using a cloud-based email security gateway that includes advanced malware detection, sandboxing, and link analysis. Attachments are scanned in real time, and suspicious content is quarantined for administrator review.

Malicious links are rewritten and scanned at click time using threat intelligence from multiple sources. Policies are defined in the Email Security and Threat Protection Policy ESTPP v3.1. Detection events are integrated with our SIEM and investigated by the Security Operations Center."
100,100,threatIntelligence,Threat Intelligence,Detail your organization's subscription to or partnerships with cyber threat intelligence providers and security information-sharing agencies.,"We maintain active threat intelligence feeds from commercial providers and participate in multiple security information-sharing communities including FS-ISAC and InfraGard. Threat intel is ingested into our SIEM and used to inform detection rule tuning, alert triage, and proactive threat hunting.

Weekly threat briefings are held by the Security Operations Center to review emerging IOCs, TTPs, and relevant advisories. Our Threat Intelligence Program is documented in the Threat Intelligence Integration Guide TIIG v2.0 and was reviewed during our most recent red team engagement for strategic coverage validation."
101,101,impactAnalysis,Impact Analysis,"Provide details on your organization's business impact analysis, highlighting how you define objectives for the resumption of critical operations.","Our Business Impact Analysis BIA is conducted annually and includes structured input from department leads, system owners, and executive sponsors. It identifies critical business functions, dependencies, recovery priorities, and the maximum tolerable downtime for each.

The BIA output defines RTO and RPO objectives by function and informs continuity planning, backup design, and resilience investments. Results are documented in the Resumption Objective Register and reviewed by the Business Continuity Governance Committee each fiscal year."
102,102,realisticTesting,Realistic Testing,Describe the realistic exercise and test scenarios your organization deploys to simulate business disruptions and assess the capability to meet business and customer expectations.,"Realistic business continuity scenarios are tested semi-annually and include simulations such as full data center outages, simultaneous vendor failures, targeted cyberattacks, and regional natural disasters. Exercises involve cross-functional teams and test internal coordination, external communication, and system recovery effectiveness.

Scenarios are designed in coordination with the Risk and Business Continuity teams and updated based on recent threat intelligence and audit findings. After-action reports are reviewed with executive leadership, and lessons learned are incorporated into future planning cycles."
103,103,riskAssessment,Risk Assessment,Outline your organization's approach and frequency for conducting information security risk assessments.,"Information security risk assessments are conducted biannually and whenever significant changes occur in infrastructure, business processes, or regulatory obligations. The assessments evaluate threats, vulnerabilities, and control effectiveness across systems and third-party dependencies.

Risks are prioritized using our internal scoring model and logged in the Enterprise Risk Register, with mitigation plans assigned to control owners. Results are reviewed by the Risk Committee and included in executive-level risk reporting."
104,104,riskBasedControls,Risk-Based Controls,Provide details on how your cybersecurity team deploys or updates security controls based on periodic risk assessments to manage cyber risks within your risk tolerance.,"Security controls are reviewed and updated as part of the biannual Information Security Risk Assessment cycle. Risk findings are mapped to control objectives using the Control Remediation Framework CRF v2.0, which prioritizes implementation based on severity, regulatory exposure, and business impact.

Control changes are documented in the Security Control Register and tracked through our GRC platform until verification and closure. Approved adjustments are included in quarterly risk posture reports presented to senior leadership."
105,105,incidentReporting,Incident Reporting,"Summarize the procedures your organization follows to communicate, alert, and periodically report cyber threats and incidents to internal and external stakeholders.","Cyber threats and incidents are communicated through the Incident Notification and Escalation Framework INEF v3.1. Internal alerts are sent via the Incident Response Platform with predefined escalation paths based on severity. Executive leadership, Legal, and Communications are notified for high-impact or regulatory events.

External stakeholders, including clients and regulators, are informed through secure communication channels following pre-approved templates and jurisdictional requirements. All communication timelines and content are logged in the Incident Disclosure Log for audit readiness and compliance tracking."
106,106,keyManagementStrategy,Key Management Strategy,"Describe your organization's established centralized cryptographic key management strategy, including management and storage practices.","Cryptographic keys are managed through a centralized Key Management System KMS that enforces automated key generation, rotation, and revocation policies. Keys are stored in hardware security modules HSMs, with access restricted to approved roles under the principle of least privilege.

Key lifecycle events are logged and monitored through our SIEM, and quarterly key audits are performed by the Cryptographic Operations team. The strategy is defined in the Key Management Policy KMP v2.7 and aligns with NIST SP 800-57 and ISO 27001 controls."
107,107,incidentPlanTesting,Incident Plan Testing,"Describe how your organization tests its incident management plan, including the frequency and methodologies employed.","The Incident Management Plan is tested twice per year through tabletop exercises and live simulations coordinated by the Incident Response and Risk teams. Scenarios include data breaches, ransomware, supply chain attacks, and insider threats, and involve Legal, Communications, IT, and executive leadership.

Each exercise generates an After-Action Report AAR that documents performance, communication flow, and areas for improvement. Lessons learned are incorporated into updated playbooks and response protocols maintained in the Incident Response Library IRL."
108,108,incidentManagementPlan,Incident Management Plan,"Provide details on your organization's documented incident management plan, including key components and scope.","The Incident Management Plan IMP v5.0 outlines roles, responsibilities, incident classification tiers, communication protocols, escalation paths, containment strategies, and post-incident review requirements. It applies across all departments and covers cyber, physical, and third-party incidents.

The plan is reviewed annually by the Incident Response Steering Committee and updated based on lessons learned from simulations and actual incidents. It is published in the internal GRC portal and linked to automated workflows in the Incident Response Platform."
