"id","field_key","wizard_section","question_label","question","example_response","ai_search_instructions","partial_risk_score_max","created_at","updated_at"
"68","api_access_control_least_privilege_scope_based","API Access Control","Least Privilege & Scope-Based Access Control","How does your company enforce least privilege and scope-based access control for API users?","Each API consumer is assigned only the minimum permissions required for their functionality.","Look for 'Least Privilege Enforcement,' 'OAuth Scopes,' or 'RBAC Policies.' Identify whether APIs implement fine-grained access control based on user roles and scopes.","6",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"69","api_access_control_api_versioning_deprecation","API Access Control","API Versioning & Deprecation Policy","Does your company have an API versioning and deprecation policy to maintain security and compatibility?","We maintain strict version control and notify users of deprecated API versions at least six months in advance.","Look for 'API Versioning,' 'Deprecation Policies,' or 'Backward Compatibility Management.' Identify whether API lifecycle management includes structured versioning and retirement plans.","3",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"70","api_access_control_security_incident_response","API Access Control","Security Incident Response Plan","How does your company respond to API-related security incidents and vulnerabilities?","We have a dedicated API security response team that follows a defined incident response plan.","Look for 'API Security Incident Response,' 'Vulnerability Remediation,' or 'SLA for API Security Issues.' Identify whether organizations have formal incident response workflows for API threats.","18",2025-02-27T02:32:47.722Z,2025-02-27T02:32:47.722Z
"71","oauth_standards_compliance_version_implementation","OAuth Standards Compliance","OAuth Version & Implementation","What version of OAuth does your organization support, and how is it implemented?","We support OAuth 2.0 and have implemented it with OpenID Connect for authentication and authorization.","Look for 'OAuth Version,' 'OAuth 2.0 Implementation,' or 'OpenID Connect.' Identify OAuth versions used, compliance with security standards, and implementation details.","30",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"72","oauth_standards_compliance_client_authentication","OAuth Standards Compliance","Client Authentication Methods","How does your organization authenticate OAuth clients to prevent unauthorized access?","We use Mutual-TLS (mTLS) client authentication for high-security applications.","Look for 'Client Authentication,' 'OAuth 2.0 Mutual TLS,' or 'PKI-based Client Authentication.' Identify whether authentication uses mTLS, client secrets, or private key infrastructure.","15",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"73","oauth_standards_compliance_token_storage_protection","OAuth Standards Compliance","Token Storage & Protection","How does your organization protect OAuth access tokens from theft and misuse?","We use short-lived tokens with refresh token rotation and store them securely using hardware security modules (HSMs).","Look for 'Access Token Security,' 'Refresh Token Rotation,' or 'Token Storage Policy.' Identify token expiration policies, encryption techniques, and storage best practices.","27",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"74","oauth_standards_compliance_monitoring","OAuth Standards Compliance","OAuth Compliance & Monitoring","How does your organization monitor and ensure ongoing compliance with OAuth standards?","We perform regular OAuth security assessments and maintain compliance with the latest OAuth security best practices.","Look for 'OAuth Security Assessment,' 'Compliance Monitoring,' or 'Security Best Practices.' Identify monitoring tools, compliance checks, and security controls.","12",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"75","oauth_standards_compliance_token_validation_revocation","OAuth Standards Compliance","Token Validation & Revocation","What mechanisms are in place to validate and revoke OAuth tokens when necessary?","We implement real-time token validation and maintain a token blacklist for immediate revocation.","Look for 'Token Validation,' 'Revocation Endpoints,' or 'Token Blacklisting.' Identify validation methods, revocation procedures, and token lifecycle management.","24",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"76","oauth_standards_compliance_flow_security","OAuth Standards Compliance","OAuth Flow Security","How does your organization secure different OAuth flows and prevent common OAuth-related vulnerabilities?","We enforce PKCE for mobile clients and implement state parameters to prevent CSRF attacks.","Look for 'OAuth Flow Implementation,' 'PKCE Usage,' or 'OAuth Security Controls.' Identify flow-specific security measures and vulnerability prevention.","21",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"77","oauth_standards_compliance_session_management","OAuth Standards Compliance","OAuth Session Management","How does your organization manage OAuth sessions and handle session-related security concerns?","We implement session binding and maintain secure session storage with appropriate timeout policies.","Look for 'OAuth Session Security,' 'Session Management,' or 'Session Controls.' Identify session handling, timeout policies, and security measures.","9",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"78","oauth_standards_compliance_scope_management","OAuth Standards Compliance","Scope Management","How does your organization define and enforce OAuth scopes?","We maintain a granular scope system with clear documentation and regular scope reviews.","Look for 'OAuth Scope Definition,' 'Scope Enforcement,' or 'Permission Management.' Identify scope granularity, documentation, and access control.","6",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"79","oauth_standards_compliance_audit_logging","OAuth Standards Compliance","OAuth Audit & Logging","What OAuth-related events does your organization log and audit?","We maintain comprehensive logs of all OAuth operations including token issuance, validation, and revocation.","Look for 'OAuth Audit Trail,' 'Security Logging,' or 'OAuth Monitoring.' Identify logged events, audit procedures, and monitoring practices.","3",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"80","oauth_standards_compliance_incident_response","OAuth Standards Compliance","OAuth Incident Response","How does your organization respond to OAuth-related security incidents?","We have documented procedures for responding to OAuth security incidents including token compromise.","Look for 'OAuth Security Incident,' 'Response Procedures,' or 'Security Measures.' Identify incident response plans, remediation steps, and security controls.","18",2025-02-27T02:33:06.407Z,2025-02-27T02:33:06.407Z
"81","fdx_compliance_certification_open_banking_regulatory","FDX Compliance & Certification","Open Banking & Regulatory Compliance","How does your organization ensure compliance with open banking regulations and FDX standards?","We maintain current FDX certification and regularly audit our implementations against the latest standards.","Look for 'FDX Compliance,' 'Open Banking Standards,' or 'Regulatory Requirements.' Identify compliance status, audit results, and regulatory adherence.","30",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"82","fdx_compliance_certification_api_scalability_performance","FDX Compliance & Certification","API Scalability & Performance","How does your organization ensure FDX APIs meet performance and scalability requirements?","We conduct regular load testing and maintain redundant infrastructure to handle peak loads.","Look for 'API Performance Testing,' 'Scalability Measures,' or 'Load Testing Results.' Identify performance metrics, scaling capabilities, and infrastructure capacity.","15",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"83","fdx_compliance_certification_user_consent_data_control","FDX Compliance & Certification","User Consent & Data Control","How does your organization manage user consent and data control in accordance with FDX standards?","We implement granular consent management and provide users with full control over their data sharing preferences.","Look for 'Consent Management,' 'Data Control Mechanisms,' or 'User Permissions.' Identify consent workflows, user controls, and data sharing preferences.","27",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"84","fdx_compliance_certification_audit_logging_monitoring","FDX Compliance & Certification","Audit Logging & Monitoring","What audit logging and monitoring practices do you have in place for FDX compliance?","We maintain comprehensive audit logs of all FDX API transactions and conduct regular monitoring.","Look for 'Audit Trail,' 'Transaction Logging,' or 'Monitoring Systems.' Identify logging practices, monitoring tools, and audit procedures.","12",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"85","fdx_compliance_certification_data_privacy_consumer_protection","FDX Compliance & Certification","Data Privacy & Consumer Protection","How does your organization protect consumer data and privacy in FDX implementations?","We enforce strict data privacy controls and implement all FDX-recommended security measures.","Look for 'Privacy Controls,' 'Consumer Protection,' or 'Data Security Measures.' Identify privacy safeguards, security controls, and consumer protection mechanisms.","24",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"86","fdx_compliance_certification_api_implementation_status","FDX Compliance & Certification","API Implementation & Certification Status","What is your current FDX API implementation and certification status?","We have achieved FDX certification for all our APIs and maintain compliance through regular updates.","Look for 'FDX Certification,' 'Implementation Status,' or 'Compliance Records.' Identify certification status, implementation details, and compliance maintenance.","21",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"87","fdx_compliance_certification_api_security_authentication","FDX Compliance & Certification","API Security & Authentication Standards","How does your organization implement FDX security and authentication requirements?","We follow all FDX security protocols and implement required authentication methods.","Look for 'Security Standards,' 'Authentication Methods,' or 'FDX Requirements.' Identify security implementations, authentication protocols, and compliance measures.","9",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"88","fdx_compliance_certification_api_error_handling_resilience","FDX Compliance & Certification","API Error Handling & Resilience","How does your organization handle API errors and ensure service resilience?","We implement comprehensive error handling and maintain fallback mechanisms for all critical services.","Look for 'Error Handling,' 'Service Resilience,' or 'Fallback Mechanisms.' Identify error management, resilience measures, and service reliability.","6",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"89","fdx_compliance_certification_data_sharing_interoperability","FDX Compliance & Certification","Data Sharing & Interoperability","How does your organization ensure data sharing interoperability with FDX standards?","We strictly follow FDX data sharing specifications and regularly test interoperability.","Look for 'Data Sharing Standards,' 'Interoperability Testing,' or 'FDX Specifications.' Identify compliance with standards, testing procedures, and interoperability measures.","3",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
"90","fdx_compliance_certification_renewal_compliance_updates","FDX Compliance & Certification","Certification Renewal & Compliance Updates","How does your organization manage FDX certification renewals and stay current with updates?","We maintain a dedicated team for tracking FDX updates and ensuring timely certification renewals.","Look for 'Certification Renewal,' 'Compliance Updates,' or 'Standards Maintenance.' Identify renewal processes, update procedures, and compliance maintenance.","18",2025-02-27T02:33:24.408Z,2025-02-27T02:33:24.408Z
